@relation 'newdata_train-weka.filters.unsupervised.attribute.Remove-V-R2-4,8'

@attribute PctUnemployed numeric
@attribute PctImmigRec5 numeric
@attribute TotalPctDiv numeric
@attribute levelofcrime {Low,High}

@data
2.7,13,4.47,Low
5.72,30.56,13.04,High
4.85,16.27,7.64,Low
8.19,22.82,14.94,High
7.19,35.39,13.53,High
10.16,32.75,16.57,High
11.05,32.43,12.74,High
6.95,41.41,11.12,Low
8.98,25.51,11.77,High
3.5,18.31,9.33,High
3.31,23.73,11.54,Low
8.34,5.88,14.22,High
13.93,0,11.08,High
8.97,18.96,10.7,Low
5.13,0,11.89,High
7.91,26.52,14.13,High
5.1,16.87,9.94,High
5.68,4.23,13.39,High
5.55,11.78,7.69,Low
7.01,0,12.75,Low
3.8,22.29,12.23,High
4.65,12.29,6.2,Low
10.98,13.67,14.6,Low
9.92,27.39,13.62,High
3.94,21.86,6.41,Low
4.21,7.12,10.31,Low
5.97,43.05,11.25,High
4.74,21.81,13.21,High
3.13,21.14,5.81,Low
5.41,3.85,8.48,High
6.62,15.57,11.16,High
7.11,44.26,14.23,High
3.75,14.28,6.47,Low
3.44,7.51,8.57,Low
8.52,23.96,11.36,High
3.56,13.27,6.38,Low
9.5,17.28,13.15,High
8.12,28.48,14.15,High
8.51,9.06,10.51,High
5.12,14.14,12.53,Low
7.31,8.33,12.32,High
3.05,10.27,7.8,Low
4.57,11.31,11.2,High
2.71,14.81,5.8,Low
7.22,24.91,10.93,High
3.3,28.79,11,Low
3.21,0,4.1,Low
3.82,29.78,13.43,High
3.31,25.43,9.55,Low
5.66,5.72,9.08,Low
5.08,42.9,8.28,Low
8.37,31.7,14.97,High
2.81,4.91,5.14,Low
5.64,5.66,8.45,Low
11.09,27.07,12.74,High
3.93,29.6,14.83,Low
4.82,22.33,9.2,Low
4.77,35.73,19.11,High
3.52,14.83,13.69,Low
3.31,24.07,10.85,Low
3.62,13.79,12.39,High
5.56,32.56,11.51,High
7.56,35.43,5.29,Low
2.63,38.49,12.84,Low
5.96,69.19,6.76,Low
3.08,26.12,8.91,Low
8.15,29.69,12.16,High
6.72,23.31,12.13,Low
5.93,39.72,11.46,Low
8.34,32.13,12.26,High
7.53,27.86,8.63,High
4.6,5.18,6.44,Low
9.73,12.14,12.05,Low
4.37,35.56,10.62,High
3.09,24.06,12.29,Low
4.91,55.89,8.97,High
5.7,20.57,9.33,High
4.16,24.31,10.45,Low
8.01,14.34,13.17,Low
6.45,44.08,10.88,Low
10.96,14.2,15.23,High
8.89,17.67,16.77,High
5.19,13.29,11.74,Low
2.38,6.22,6.88,Low
10.87,24.34,14.53,High
3.4,27.59,11.7,Low
8.85,37.73,8.74,High
8.38,3.33,11.92,High
10.6,37.48,14.87,High
3.1,27.52,4.82,Low
3.09,15.43,10.54,Low
13.03,10.08,12.05,Low
3.8,16.99,5.69,Low
5.71,33.33,10.01,Low
12.4,12.21,14.44,High
6.54,15.67,16.66,High
7.43,27.63,15.58,High
5.51,76.16,8.35,Low
4.73,22.6,11.97,Low
6.64,18.62,15.61,High
10.69,45.96,7.37,High
9.43,25.29,16.07,High
7.65,10.69,7.94,Low
3.5,12.18,9.17,Low
4.1,0,9.98,Low
19.22,25.27,10.6,Low
10.89,57.52,13.35,High
12.14,17.8,7.43,Low
7.94,32.8,10.19,Low
2.55,10.08,9.21,Low
4.17,35.55,15,High
3.32,33.82,12.93,High
3.12,29.89,5.15,Low
7,29.16,12.46,High
2.9,18.42,8.93,Low
6.54,31.62,13.78,High
5.76,29.3,9.9,High
5.42,11.87,9.33,Low
3.85,25.17,9.68,Low
2.81,2.04,6.47,Low
7.67,31.53,12.97,High
7.06,24.43,15.53,High
9.97,26.57,11.21,High
4.52,14.1,11.07,Low
1.71,28.67,9.8,Low
7.4,22.91,14.75,High
5.21,29.09,11.54,High
14.95,27.48,8.21,High
2.92,23.62,11.42,Low
4.24,10.83,15.17,High
2.86,13.34,7.89,Low
12.8,8.85,17.75,High
7.69,15.48,16.27,Low
10.08,16.59,13.26,Low
14.52,20.41,11.04,High
8.5,54.19,13.34,High
3.95,16.22,7.51,Low
4.11,10.6,10.56,Low
2.75,10.12,9.73,Low
3.69,33.72,10.34,High
5.26,25.09,10.86,High
2.46,23.45,7.12,Low
5.97,3.71,13.98,High
5.61,11.7,9.98,Low
4.59,17.43,8.07,Low
4.97,9.02,11.7,Low
5.17,0,7.62,Low
6.69,18.53,9.33,High
6.32,27.33,15.97,High
2.5,38.92,8.51,Low
2.99,24.52,5.66,Low
7.32,0.37,4.41,Low
8.96,4.85,11.37,Low
4.05,25.44,9.8,Low
4.66,24.35,13.64,High
5.91,27.71,13.48,High
5.11,0,14.15,High
4.7,23.3,15.92,High
7.44,39.86,14.84,High
3.38,24.77,15.62,High
7.09,10.35,11.25,Low
6.82,29.03,12.36,Low
3.01,26.22,11.85,Low
5.5,34.48,18.67,High
5.1,6.97,8.75,Low
9.23,28.02,10.37,High
3.27,21.74,11.39,Low
3.99,49.58,9.04,Low
4.78,25.46,8.53,Low
3.24,10.25,10.78,Low
10.99,22.3,10.16,High
5.56,14.63,6.68,Low
5.96,25.12,12.17,High
6.92,25.86,8.95,Low
5.17,21.16,11.9,Low
4.21,0,11.23,Low
7.98,20.31,11.47,High
5.8,27.56,13.58,High
2.73,14.92,7.02,Low
3.77,11.48,10.1,Low
10.58,5.75,14.46,High
4.91,34.1,12.07,Low
2.57,17.2,14.64,Low
4.87,13.61,13.07,Low
3.96,3.16,8.84,Low
13.05,12.21,15.49,High
3.05,10.32,7.66,Low
2.93,16.93,5.81,Low
7.31,24.37,10.17,High
2.4,0,9.64,Low
3.75,17.51,6.65,Low
3.09,19.75,10.69,Low
4.22,9.69,10.78,Low
4.52,37.93,11.97,Low
4.18,6.2,6.47,Low
6.56,4.78,12.5,High
7.48,6.98,12.03,Low
4.92,62.32,4.1,Low
3.61,15.96,9.34,Low
2.8,22.46,12.86,Low
2.06,33.85,11.35,Low
4.11,12.63,10.85,Low
2.28,16.93,9.14,Low
8.04,0,10.29,Low
10.31,29.61,17.1,High
11.58,18.49,12.96,High
4.35,11.99,9.28,Low
7.04,23.11,10.17,Low
4.69,17.05,16.51,High
3.62,4.65,7.5,Low
6.67,19.13,9.33,High
7.12,11.42,9.23,Low
8.74,6.36,11.83,High
6.89,29.19,15.38,High
7.77,20.1,14.93,High
3.62,8.11,9.67,Low
6.63,26.11,9.47,High
8.24,26.42,12.61,High
7.6,24.15,15.82,High
6.59,16.11,13.44,High
6.55,15.5,9.61,Low
4.72,6.76,7.18,Low
4.64,27.17,16.58,High
2.65,20.86,7.03,Low
10.81,24.7,9.33,High
7.43,22.64,15.02,High
5.46,14.77,9.74,High
1.66,24.73,5.49,Low
10.72,41.09,13.67,High
3.01,18.2,14.45,Low
4.07,24.42,15.45,Low
5.36,6.12,9.48,High
1.87,15.64,7.3,Low
9.38,26.92,13.58,High
4.3,17.86,10.68,Low
5.29,4.78,10.15,Low
6.41,12.95,8.13,Low
5.39,2.2,10.87,High
3.64,24.16,9.67,Low
5.82,10.38,10.31,Low
11.85,16.16,15.99,High
2.57,19.94,8.24,High
9.15,27.45,13.7,High
3.25,10.6,6.07,Low
6.62,22.9,9.25,High
3.45,14.59,12.64,High
5.39,22.6,14.14,Low
5.13,28.42,13.61,High
7.82,24.08,13,High
4.98,10.43,13.55,High
4.36,6.9,10.23,Low
3.18,6.74,4.6,Low
8.12,26.68,12.01,High
6.16,19.45,10.12,High
4.31,6,11.45,Low
3.2,31.78,12.09,High
5.35,28.3,11.27,High
2.27,23.97,5.83,Low
4.04,13.13,7.41,Low
3.64,15.39,5.88,Low
7.06,25.62,10.47,Low
7.53,12.71,14.49,Low
5.28,1.83,9.68,Low
6.45,27.51,13.64,High
7.55,40.19,8.55,Low
5.81,9.52,8.04,Low
2.67,4.81,3.92,Low
3.76,17.91,9.68,High
