@relation newdata_train-weka.filters.unsupervised.attribute.Remove-V-R2-8

@attribute PctUnemployed numeric
@attribute PctImmigRec5 numeric
@attribute TotalPctDiv numeric
@attribute PopDens numeric
@attribute PctLess9thGrade numeric
@attribute medIncome numeric
@attribute levelofcrime {Low,High}

@data
2.7,13,4.47,1845.9,5.81,75122,Low
5.72,30.56,13.04,1995.7,8.76,21577,High
4.85,16.27,7.64,2643.5,4.49,42805,Low
8.19,22.82,14.94,1515.3,10.09,23221,High
7.19,35.39,13.53,816.1,9.07,24763,High
10.16,32.75,16.57,9387.3,14.03,25479,High
11.05,32.43,12.74,1301.5,14.49,19143,High
6.95,41.41,11.12,5677.3,11.54,34372,Low
8.98,25.51,11.77,22878.2,14.1,29823,High
3.5,18.31,9.33,2917.9,5.8,29043,High
3.31,23.73,11.54,1073.9,8.18,26198,Low
8.34,5.88,14.22,1900.7,15.88,22052,High
13.93,0,11.08,2323.5,23.94,14874,High
8.97,18.96,10.7,3353.7,12.54,22166,Low
5.13,0,11.89,998.4,5.6,34372,High
7.91,26.52,14.13,2134,21.8,18499,High
5.1,16.87,9.94,1641.4,4.93,51594,High
5.68,4.23,13.39,1423.7,18.52,22446,High
5.55,11.78,7.69,2441,5.59,38742,Low
7.01,0,12.75,616.9,20.78,19985,Low
3.8,22.29,12.23,5437.2,3.6,54348,High
4.65,12.29,6.2,7812.2,3.26,43376,Low
10.98,13.67,14.6,4102.3,9.68,22439,Low
9.92,27.39,13.62,3988.5,8.57,24819,High
3.94,21.86,6.41,4413,3.72,59719,Low
4.21,7.12,10.31,1137.7,4.72,32704,Low
5.97,43.05,11.25,1290.5,13.61,23726,High
4.74,21.81,13.21,2286.9,5.36,35934,High
3.13,21.14,5.81,1260.7,3.8,49143,Low
5.41,3.85,8.48,369.6,8.16,32713,High
6.62,15.57,11.16,8564.4,9.07,23773,High
7.11,44.26,14.23,2063.3,12.59,19923,High
3.75,14.28,6.47,2250.1,4.57,58194,Low
3.44,7.51,8.57,2139.7,8.71,45481,Low
8.52,23.96,11.36,1227.9,14.83,20569,High
3.56,13.27,6.38,3625.3,1.05,43971,Low
9.5,17.28,13.15,1057.3,13.83,18357,High
8.12,28.48,14.15,2503.8,9.36,21748,High
8.51,9.06,10.51,1329.7,19.73,19157,High
5.12,14.14,12.53,1602.6,3.63,30591,Low
7.31,8.33,12.32,3397.6,3.69,37683,High
3.05,10.27,7.8,4180.8,6.29,34644,Low
4.57,11.31,11.2,3057.5,3.75,41028,High
2.71,14.81,5.8,3001.1,4.91,62420,Low
7.22,24.91,10.93,658.2,2.92,33411,High
3.3,28.79,11,2695.4,6.16,46674,Low
3.21,0,4.1,585.8,1.7,43804,Low
