@relation 'newdata_train-weka.filters.unsupervised.attribute.Remove-V-R3-4,6,8'

@attribute PctImmigRec5 numeric
@attribute TotalPctDiv numeric
@attribute PctLess9thGrade numeric
@attribute levelofcrime {Low,High}

@data
13,4.47,5.81,Low
30.56,13.04,8.76,High
16.27,7.64,4.49,Low
22.82,14.94,10.09,High
35.39,13.53,9.07,High
32.75,16.57,14.03,High
32.43,12.74,14.49,High
41.41,11.12,11.54,Low
25.51,11.77,14.1,High
18.31,9.33,5.8,High
23.73,11.54,8.18,Low
5.88,14.22,15.88,High
0,11.08,23.94,High
18.96,10.7,12.54,Low
0,11.89,5.6,High
26.52,14.13,21.8,High
16.87,9.94,4.93,High
4.23,13.39,18.52,High
11.78,7.69,5.59,Low
0,12.75,20.78,Low
22.29,12.23,3.6,High
12.29,6.2,3.26,Low
13.67,14.6,9.68,Low
27.39,13.62,8.57,High
21.86,6.41,3.72,Low
7.12,10.31,4.72,Low
43.05,11.25,13.61,High
21.81,13.21,5.36,High
21.14,5.81,3.8,Low
3.85,8.48,8.16,High
15.57,11.16,9.07,High
44.26,14.23,12.59,High
14.28,6.47,4.57,Low
7.51,8.57,8.71,Low
23.96,11.36,14.83,High
13.27,6.38,1.05,Low
17.28,13.15,13.83,High
28.48,14.15,9.36,High
9.06,10.51,19.73,High
14.14,12.53,3.63,Low
8.33,12.32,3.69,High
10.27,7.8,6.29,Low
11.31,11.2,3.75,High
14.81,5.8,4.91,Low
24.91,10.93,2.92,High
28.79,11,6.16,Low
0,4.1,1.7,Low
29.78,13.43,8.12,High
25.43,9.55,10.36,Low
5.72,9.08,7.04,Low
42.9,8.28,7.24,Low
31.7,14.97,28.57,High
4.91,5.14,5.04,Low
5.66,8.45,7.31,Low
27.07,12.74,27.72,High
29.6,14.83,5.45,Low
22.33,9.2,8.38,Low
35.73,19.11,4.32,High
14.83,13.69,1.9,Low
24.07,10.85,4.6,Low
13.79,12.39,5.83,High
32.56,11.51,5.59,High
35.43,5.29,12.93,Low
38.49,12.84,2.21,Low
69.19,6.76,11.51,Low
26.12,8.91,6.11,Low
29.69,12.16,16.58,High
23.31,12.13,10.91,Low
39.72,11.46,6.41,Low
32.13,12.26,18.4,High
27.86,8.63,22.09,High
5.18,6.44,12.11,Low
12.14,12.05,8.04,Low
35.56,10.62,9.54,High
24.06,12.29,3.09,Low
55.89,8.97,5.02,High
20.57,9.33,6.38,High
24.31,10.45,5.91,Low
14.34,13.17,13.76,Low
44.08,10.88,5.4,Low
14.2,15.23,9.02,High
17.67,16.77,13.67,High
13.29,11.74,7.17,Low
6.22,6.88,3.31,Low
24.34,14.53,28.42,High
27.59,11.7,1.67,Low
37.73,8.74,15.92,High
3.33,11.92,19.02,High
37.48,14.87,21.02,High
27.52,4.82,0.72,Low
15.43,10.54,3.66,Low
10.08,12.05,23.72,Low
16.99,5.69,5.82,Low
33.33,10.01,12.41,Low
12.21,14.44,13.42,High
15.67,16.66,11.47,High
27.63,15.58,12.32,High
76.16,8.35,13.16,Low
22.6,11.97,5.02,Low
18.62,15.61,5.73,High
45.96,7.37,8.95,High
25.29,16.07,9.43,High
10.69,7.94,11.58,Low
12.18,9.17,7.89,Low
0,9.98,7.3,Low
25.27,10.6,36.43,Low
57.52,13.35,16.59,High
17.8,7.43,34.49,Low
32.8,10.19,11.19,Low
10.08,9.21,2.69,Low
35.55,15,7.4,High
33.82,12.93,11.51,High
29.89,5.15,2.33,Low
29.16,12.46,10.56,High
18.42,8.93,1.38,Low
31.62,13.78,11.53,High
29.3,9.9,10.42,High
11.87,9.33,3.83,Low
25.17,9.68,3.42,Low
2.04,6.47,3.9,Low
31.53,12.97,11.35,High
24.43,15.53,7.06,High
26.57,11.21,19.38,High
14.1,11.07,9.71,Low
28.67,9.8,2.13,Low
22.91,14.75,6.46,High
29.09,11.54,6.52,High
27.48,8.21,34.36,High
23.62,11.42,2.42,Low
10.83,15.17,3.87,High
13.34,7.89,3.34,Low
8.85,17.75,10.62,High
15.48,16.27,8.91,Low
16.59,13.26,8.68,Low
20.41,11.04,17.18,High
54.19,13.34,15.06,High
16.22,7.51,10.55,Low
10.6,10.56,3.23,Low
10.12,9.73,5.76,Low
33.72,10.34,5.33,High
25.09,10.86,9.6,High
23.45,7.12,3.8,Low
3.71,13.98,10.26,High
11.7,9.98,2.84,Low
17.43,8.07,8.4,Low
9.02,11.7,7.46,Low
0,7.62,8.35,Low
18.53,9.33,13.14,High
27.33,15.97,11.29,High
38.92,8.51,4.44,Low
24.52,5.66,3.91,Low
0.37,4.41,13.67,Low
4.85,11.37,10.52,Low
25.44,9.8,4.25,Low
24.35,13.64,4.56,High
27.71,13.48,6.12,High
0,14.15,18.45,High
23.3,15.92,7.12,High
39.86,14.84,11.58,High
24.77,15.62,2.66,High
10.35,11.25,12.88,Low
29.03,12.36,10.27,Low
26.22,11.85,1.1,Low
34.48,18.67,5.49,High
6.97,8.75,10.71,Low
28.02,10.37,23.05,High
21.74,11.39,1.71,Low
49.58,9.04,14.49,Low
25.46,8.53,6.28,Low
10.25,10.78,2.74,Low
22.3,10.16,22.73,High
14.63,6.68,8.18,Low
25.12,12.17,5.93,High
25.86,8.95,5.52,Low
21.16,11.9,3.07,Low
0,11.23,11.36,Low
20.31,11.47,16.58,High
27.56,13.58,5.75,High
14.92,7.02,3.21,Low
11.48,10.1,2.44,Low
5.75,14.46,16.97,High
34.1,12.07,6.05,Low
17.2,14.64,5,Low
13.61,13.07,5.2,Low
3.16,8.84,6.2,Low
12.21,15.49,11.21,High
10.32,7.66,10.2,Low
16.93,5.81,5.34,Low
24.37,10.17,5.78,High
0,9.64,7.7,Low
17.51,6.65,2.04,Low
19.75,10.69,4.09,Low
9.69,10.78,4.16,Low
37.93,11.97,7.74,Low
6.2,6.47,6.6,Low
4.78,12.5,9.09,High
6.98,12.03,6.62,Low
62.32,4.1,1.31,Low
15.96,9.34,1.6,Low
22.46,12.86,4.69,Low
33.85,11.35,3.59,Low
12.63,10.85,4.72,Low
16.93,9.14,5.07,Low
0,10.29,8.53,Low
29.61,17.1,10.23,High
18.49,12.96,12.42,High
11.99,9.28,5.24,Low
23.11,10.17,17.26,Low
17.05,16.51,7.79,High
4.65,7.5,5.02,Low
19.13,9.33,7.74,High
11.42,9.23,18.42,Low
6.36,11.83,26.36,High
29.19,15.38,10.94,High
20.1,14.93,11.35,High
8.11,9.67,8.86,Low
26.11,9.47,9.47,High
26.42,12.61,16.5,High
24.15,15.82,10.13,High
16.11,13.44,9.4,High
15.5,9.61,11.05,Low
6.76,7.18,4.55,Low
27.17,16.58,5.04,High
20.86,7.03,6.32,Low
24.7,9.33,36.2,High
22.64,15.02,12.39,High
14.77,9.74,6.88,High
24.73,5.49,0.66,Low
41.09,13.67,11.77,High
18.2,14.45,1.1,Low
24.42,15.45,3.15,Low
6.12,9.48,8.51,High
15.64,7.3,1.42,Low
26.92,13.58,15.95,High
17.86,10.68,4.47,Low
4.78,10.15,4.09,Low
12.95,8.13,5.39,Low
2.2,10.87,8.9,High
24.16,9.67,3.4,Low
10.38,10.31,5.11,Low
16.16,15.99,17.41,High
19.94,8.24,9.28,High
27.45,13.7,9.9,High
10.6,6.07,5.42,Low
22.9,9.25,23.35,High
14.59,12.64,11.81,High
22.6,14.14,4.19,Low
28.42,13.61,7.69,High
24.08,13,9.19,High
10.43,13.55,8.27,High
6.9,10.23,5.74,Low
6.74,4.6,4.11,Low
26.68,12.01,8.65,High
19.45,10.12,17.29,High
6,11.45,7.01,Low
31.78,12.09,4.48,High
28.3,11.27,8.89,High
23.97,5.83,2.95,Low
13.13,7.41,8.88,Low
15.39,5.88,1.85,Low
25.62,10.47,10.99,Low
12.71,14.49,7.26,Low
1.83,9.68,10.6,Low
27.51,13.64,13.79,High
40.19,8.55,15.64,Low
9.52,8.04,7.57,Low
4.81,3.92,5.78,Low
17.91,9.68,7.7,High
49.9,6.09,6.95,Low
27.41,11.7,5.43,Low
0,6.85,18.74,Low
10.22,9.64,7.94,Low
25.76,11.9,11.33,High
57.12,8.21,2.4,Low
24.69,12.04,14.36,High
15.32,11.51,10.96,Low
18.16,16.26,5.51,High
10.47,6.52,2.67,Low
3.76,8.84,6.25,Low
26.76,12.79,5.03,Low
10.57,12.17,8.74,High
53.28,4.58,2.4,Low
0,10.32,7.33,High
45.08,6.35,4.78,Low
23.03,11.15,4.7,High
9.9,9.52,5.48,Low
16.85,8.08,2.36,Low
6.1,10.93,17.15,High
6.82,13.57,13.84,High
24.79,16.17,10.79,High
26.73,16.61,7.68,High
19.07,10.26,25.45,High
35.2,8.13,6.53,Low
10.07,11.77,4.19,Low
21.36,13.3,4.09,High
8.72,9.65,12.31,Low
24.09,10.55,5.1,High
23.42,9.26,6.32,Low
12.03,12.71,5.73,High
18.43,14.52,15,High
17.03,13.29,15.01,High
14.59,10.66,3.23,Low
24.77,5.98,8.81,High
32.91,13.57,16.94,High
40.55,13.27,8.66,High
20.47,11.14,3.77,Low
61.69,6.17,2.94,Low
9.72,6.4,5.43,Low
21.49,12.83,6.89,High
8.34,6.24,4.38,Low
28.31,12.51,13.25,High
16.8,11.77,18.32,High
0,12.14,31.54,Low
36.73,12.88,19.14,High
34.81,11.07,18.62,Low
7.45,6.45,3.35,Low
19.06,14.39,15.47,High
23.36,15.36,13.67,High
38.54,4.28,8.13,Low
7.92,9.37,6.04,High
18.2,8.09,3.87,Low
27.51,13.61,9.81,High
33.9,10.24,10.34,High
16.89,7.7,3.27,Low
30.65,14.83,8.54,High
38.3,14.85,6.41,High
47.14,9.32,3.84,Low
51.32,13.71,17.88,High
10.26,12.04,12,Low
7.63,6.81,3.72,High
25.69,11.56,20.43,High
0,13.51,9.55,Low
20.69,10.59,7.4,High
28.56,12.67,22.45,High
15.5,12,6.21,High
